hierarchy_label,level_id,n_side,perturbation_label,amplitude,classification,failure_mechanism,survival_indicator,spectral_gap_shift_relative,mode_mixing_indicator,norm_retention_relative,recovery_style_score
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.08,diffusive,incoherence_triggered,0,0.0,0.644226742429,0.984500809925,0.733562978603
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.1,diffusive,incoherence_triggered,0,0.0,0.651817226213,0.979652741501,0.65226048652
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.12,diffusive,incoherence_triggered,0,0.0,0.659785548796,0.974431306498,0.597277188545
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.14,diffusive,incoherence_triggered,0,0.0,0.668108338062,0.96884555071,0.564100589594
periodic_diagonal_augmented_control,n48,48,phase_randomization_window,0.16,unstable,incoherence_triggered,0,0.0,0.676760968503,0.962905099665,0.528723026771
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,0.0,diffusive,spectral_mixing_dominated,0,0.0,0.618065873265,1.0,1.0
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,0.2,diffusive,spectral_mixing_dominated,0,0.0,0.618998007121,0.999767713494,0.978527161455
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,0.4,diffusive,spectral_mixing_dominated,0,0.0,0.619829051581,0.999569240003,0.962085859179
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,0.8,diffusive,spectral_mixing_dominated,0,0.0,0.621235712757,0.999249923436,0.938962916057
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,1.2,diffusive,spectral_mixing_dominated,0,0.0,0.622367059514,0.999005944476,0.923604640216
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,1.6,diffusive,spectral_mixing_dominated,0,0.0,0.623284975564,0.998814353956,0.912602006837
periodic_diagonal_augmented_control,n48,48,boundary_leakage_probe,2.0,diffusive,spectral_mixing_dominated,0,0.0,0.624036626428,0.998660221662,0.904250335778
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.0,diffusive,spectral_mixing_dominated,0,0.0,0.639219249052,1.0,1.0
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.1,diffusive,spectral_mixing_dominated,0,0.000199908739,0.639290667529,1.000116966757,0.983337263026
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.2,diffusive,spectral_mixing_dominated,0,0.00041093726,0.639365815339,1.000239775606,0.964998822308
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.3,diffusive,spectral_mixing_dominated,0,0.000634070742,0.639445117264,1.000369069817,0.944716585105
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.4,diffusive,spectral_mixing_dominated,0,0.000870416142,0.639529088771,1.000505626372,0.922170607053
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.5,diffusive,spectral_mixing_dominated,0,0.001121221815,0.639618363895,1.0006503963,0.896980229025
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.6,diffusive,spectral_mixing_dominated,0,0.001387901138,0.63971373353,1.000804559908,0.868695790258
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.7,diffusive,spectral_mixing_dominated,0,0.001672061183,0.639816198523,1.000969603149,0.836793346477
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.8,diffusive,spectral_mixing_dominated,0,0.001975537957,0.639927043943,1.001147424204,0.800677227313
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,0.9,diffusive,spectral_mixing_dominated,0,0.002300440526,0.640047943887,1.001340483624,0.759699657311
periodic_diagonal_augmented_control,n60,60,local_stiffness_defect,1.0,diffusive,spectral_mixing_dominated,0,0.00247167395,0.640112829341,1.001443701208,0.737183223237
periodic_diagonal_augmented_control,n60,60,connectivity_micro_surgery,0.0,diffusive,topological_defect_triggered,0,0.0,0.639219249052,1.0,1.0
periodic_diagonal_augmented_control,n60,60,connectivity_micro_surgery,0.2,diffusive,topological_defect_triggered,0,0.000550950995,0.639397899951,1.000291470266,0.953533456088
periodic_diagonal_augmented_control,n60,60,connectivity_micro_surgery,0.4,diffusive,topological_defect_triggered,0,0.001157286891,0.639585495058,1.000595451573,0.895855575832
periodic_diagonal_augmented_control,n60,60,connectivity_micro_surgery,0.6,diffusive,topological_defect_triggered,0,0.001546741774,0.639700284457,1.000780684658,0.864308344636
periodic_diagonal_augmented_control,n60,60,connectivity_micro_surgery,0.8,diffusive,topological_defect_triggered,0,0.001506594227,0.639686533223,1.000759106354,0.898069190896
periodic_diagonal_augmented_control,n60,60,connectivity_micro_surgery,1.0,diffusive,topological_defect_triggered,0,0.001403714366,0.639656974876,1.000711417614,0.952393247135
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.0,diffusive,incoherence_triggered,0,0.0,0.639219249052,1.0,1.0
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.02,diffusive,incoherence_triggered,0,0.0,0.64544573322,0.997689498341,0.94275523533
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.04,diffusive,incoherence_triggered,0,0.0,0.652159354522,0.995082073558,0.878182282784
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.06,diffusive,incoherence_triggered,0,0.0,0.65933529285,0.992181353231,0.806840910245
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.08,diffusive,incoherence_triggered,0,0.0,0.666947093319,0.98899135244,0.729273402815
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.1,diffusive,incoherence_triggered,0,0.0,0.674966750995,0.985516465098,0.656355078831
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.12,diffusive,incoherence_triggered,0,0.0,0.683364801829,0.981761454482,0.632387588561
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.14,diffusive,incoherence_triggered,0,0.0,0.692110419919,0.977731442977,0.606688664517
periodic_diagonal_augmented_control,n60,60,phase_randomization_window,0.16,diffusive,incoherence_triggered,0,0.0,0.701171521257,0.973431901069,0.579266950441
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,0.0,diffusive,spectral_mixing_dominated,0,0.0,0.639219249052,1.0,1.0
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,0.2,diffusive,spectral_mixing_dominated,0,0.0,0.639948349222,0.999848532168,0.981277430773
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,0.4,diffusive,spectral_mixing_dominated,0,0.0,0.640593811614,0.999721221695,0.967971524208
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,0.8,diffusive,spectral_mixing_dominated,0,0.0,0.641674735013,0.999520928598,0.950847903825
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,1.2,diffusive,spectral_mixing_dominated,0,0.0,0.642531193288,0.999372031688,0.940318699875
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,1.6,diffusive,spectral_mixing_dominated,0,0.0,0.64321553339,0.999257800138,0.932942751781
periodic_diagonal_augmented_control,n60,60,boundary_leakage_probe,2.0,diffusive,spectral_mixing_dominated,0,0.0,0.64376734603,0.999167661148,0.927296906902
periodic_diagonal_augmented_control,n72,72,local_stiffness_defect,0.0,persistent,survives,1,0.0,0.651229626592,1.0,1.0
periodic_diagonal_augmented_control,n72,72,local_stiffness_defect,0.1,persistent,survives,1,0.000139117667,0.651265595379,1.000060278773,0.988067096006
periodic_diagonal_augmented_control,n72,72,local_stiffness_defect,0.2,persistent,survives,1,0.000285933976,0.651303264727,1.000123288843,0.975010238253
periodic_diagonal_augmented_control,n72,72,local_stiffness_defect,0.3,persistent,survives,1,0.000441127688,0.651342805111,1.00018929533,0.960657504304
