hierarchy_label,level_id,n_side,h,candidate_label,perturbation_label,amplitude,evaluation_tau,overlap_with_baseline,recovery_style_score,classification,survival_indicator,failure_mechanism,localization_width,width_growth,concentration_ratio,participation_growth,spectral_gap_shift_relative,mode_mixing_indicator,local_connectivity_variance,local_spectral_density_proxy,coefficient_ratio_shift_proxy,norm_retention_relative,leakage_rate
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.7,0.8,0.999896954533,0.760335299426,diffusive,0,spectral_mixing_dominated,0.082577743902,0.032221798775,1.021151574652,0.06116579717,0.003303786933,0.885188863756,0.207952941779,0.909090909091,0.001122879311,1.001180246296,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.8,0.8,0.999846894804,0.716746371292,diffusive,0,spectral_mixing_dominated,0.082553592148,0.03191990185,1.042918111162,0.05929019262,0.00402404036,0.885236636455,0.271612005588,0.909090909091,0.001122879311,1.001422664632,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,0.9,0.8,0.9997768721,0.722997334366,diffusive,0,spectral_mixing_dominated,0.082525818304,0.0315727288,1.068833668049,0.056944906729,0.004847123898,0.885291632679,0.343758944573,0.909090909091,0.001122879311,1.001698718339,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,local_stiffness_defect,1.0,0.8,0.999731922578,0.715609401099,diffusive,0,spectral_mixing_dominated,0.082510272094,0.031378401175,1.083640863416,0.055541956307,0.005304826911,0.88532252262,0.383015367255,1.0,0.001122879311,1.001852441399,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,connectivity_micro_surgery,0.0,0.8,1.0,1.0,persistent,1,survives,0.08268941,0.033617625,0.936313940059,0.068191384751,0.0,0.884963184756,0.0,1.0,0.001122879311,1.0,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,connectivity_micro_surgery,0.2,0.8,0.99999995594,0.995263097809,persistent,1,survives,0.082690605982,0.033632574775,0.93460556923,0.068250474728,1.158e-07,0.884960249591,0.006428841171,1.0,0.001122879311,0.999984678745,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,connectivity_micro_surgery,0.4,0.8,0.999999246814,0.978229822683,persistent,1,survives,0.08269410527,0.033676315875,0.928222891386,0.068420571155,3.72798e-07,0.88495161114,0.018838274941,1.0,0.001122879311,0.999939453568,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,connectivity_micro_surgery,0.6,0.8,0.999995765187,0.947847923872,persistent,1,survives,0.082699117738,0.033738971725,0.916473560108,0.068648302347,4.04996e-07,0.884938926832,0.030414331279,1.0,0.001122879311,0.99987250584,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,connectivity_micro_surgery,0.8,0.8,0.999985334433,0.864808186921,persistent,1,survives,0.084366825547,0.054585319337,0.909606196739,0.068828197398,7.19832e-07,0.88492522356,0.039011926264,1.0,0.001122879311,0.999798673367,0.0
frozen_branch,n60,60,0.016666666667,low_mode_localized_wavepacket,connectivity_micro_surgery,1.0,0.8,0.999961265078,0.886050291017,persistent,1,survives,0.084369912381,0.054623904762,0.921827596802,0.068802150191,5.839765e-06,0.884914798879,0.047154862081,1.0,0.001122879311,0.999738870191,0.0
