case_id,split,graph_family,graph_seed,n_nodes,perturbation,severity,affected_nodes,recovery_time,final_residual_error,post_recovery_similarity,recovered_label,recovery_quality,affected_betweenness,affected_closeness,affected_degree,affected_eigenvector,affected_pagerank,algebraic_connectivity,domain_diffusion_early_probe,graph_density,graph_n_nodes,haos_causal_depth_proxy,haos_distance_surrogate_proxy,haos_invariant_overlap,haos_persistence_proxy,haos_recovery_score_proxy,haos_temporal_order_stability,shortest_path_to_perturbation
pb01_case_a07c7d422d217c0d23dd4875,development,erdos_renyi,103,24,weight_degradation,0.280000,1 3 4 5 9 10,0,0.013686055282,0.997923907608,1,0.975116263124,0.477695283954,0.944317920405,0.857291747446,0.842844324839,0.872058504910,0.906370710813,0.984637684364,0.231884057971,24.000000000000,0.510638297872,0.963375258685,1.000000000000,0.996050805537,0.984637684364,1.000000000000,0.461538461538
pb01_case_a51934faaac8e981a6be3a0c,development,erdos_renyi,103,24,localized_state_shock,0.160000,1 2 14 20,0,0.000011489221,0.999999998545,1,0.999979110507,0.582485978292,0.976467331118,0.883894822031,0.788961124769,0.906138717764,0.906370710813,0.982370713963,0.231884057971,24.000000000000,0.510638297872,0.962935385726,0.991848556629,1.000000000000,0.982370713963,1.000000000000,0.333333333333
pb01_case_9e39e668b82667032bcc81c0,development,erdos_renyi,103,24,localized_state_shock,0.280000,7 8 13 14,0,0.000027428816,0.999999991700,1,0.999950129425,0.450644931337,0.906761024568,0.667712648418,0.548203231128,0.729955830913,0.906370710813,0.980162840140,0.231884057971,24.000000000000,0.444444444444,0.949993885163,0.980028025263,1.000000000000,0.980162840140,1.000000000000,0.400000000000
pb01_case_e7e530a572065c28a0fdd3b7,development,erdos_renyi,104,24,node_removal,0.160000,4,0,0.028907555026,0.991371044405,1,0.947440809044,0.120544715699,0.804347826087,0.389906899398,0.307556901619,0.448207335555,0.969039965601,0.970928939278,0.231884057971,24.000000000000,0.342857142857,0.926982694870,0.990733997658,0.000000000000,0.970928939278,1.000000000000,0.500000000000
pb01_case_17ffdbc3103f288861fc871e,development,erdos_renyi,104,24,node_removal,0.280000,13,0,0.053588196287,0.970043242891,1,0.902566915842,0.362502714272,0.860465116279,0.754502553305,0.778334897876,0.769590182208,0.969039965601,0.948599525482,0.231884057971,24.000000000000,0.358208955224,0.933596536387,0.967978681704,0.000000000000,0.948599525482,1.000000000000,0.500000000000
pb01_case_fcd639cfe1821ca94c5edeaf,development,erdos_renyi,104,24,edge_removal,0.160000,0 2 3 4 6 7 8 9 10 13 15 16 19 20 22 23,0,0.035798251731,0.986536274811,1,0.934912269580,0.319938398941,0.837220865512,0.669401523695,0.571300361640,0.699213866094,0.969039965601,0.970736603322,0.231884057971,24.000000000000,0.750000000000,0.987322671619,1.000000000000,0.347621947464,0.970736603322,0.333333333333,0.363636363636
pb01_case_831ce7a0a2babcf3a14169ba,development,erdos_renyi,104,24,edge_removal,0.280000,1 2 4 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23,0,0.055383219937,0.969212485763,1,0.899303236478,0.278397493563,0.821236339757,0.634709886457,0.558448489746,0.667110039114,0.969039965601,0.966337939263,0.231884057971,24.000000000000,0.857142857143,0.993810314039,1.000000000000,0.278953824041,0.966337939263,0.333333333333,0.377358490566
pb01_case_27ec89aa1229683942400abe,development,erdos_renyi,104,24,weight_degradation,0.160000,3 11 14 16 17 18,0,0.006417740540,0.999557338629,1,0.988331380837,0.346594492871,0.871853113012,0.750596974555,0.702376169091,0.767840243107,0.969039965601,0.989770526147,0.231884057971,24.000000000000,0.533333333333,0.967054829680,1.000000000000,0.989700015583,0.989770526147,1.000000000000,0.461538461538
pb01_case_16a88c2f1f3e08d005f97965,development,erdos_renyi,104,24,weight_degradation,0.280000,11 16 20 21 22 23,0,0.013417091212,0.998064053831,1,0.975605288706,0.359593703577,0.849623953282,0.769847101391,0.673195662964,0.788875951029,0.969039965601,0.986966501814,0.231884057971,24.000000000000,0.533333333333,0.966566825130,1.000000000000,0.975311350090,0.986966501814,1.000000000000,0.461538461538
pb01_case_c195fb23bad3230281cac5b1,development,erdos_renyi,104,24,localized_state_shock,0.160000,10 15 16 20,0,0.000033519719,0.999999987939,1,0.999939055056,0.467056487887,0.898143617585,0.830515780801,0.797722782134,0.834959407133,0.969039965601,0.985565972978,0.231884057971,24.000000000000,0.480000000000,0.958834094313,0.991571799344,1.000000000000,0.985565972978,1.000000000000,0.500000000000
pb01_case_f48d17d5088222defbf15350,development,erdos_renyi,104,24,localized_state_shock,0.280000,3 4 5 16,0,0.000017898110,0.999999996563,1,0.999967457982,0.317580213213,0.852040264416,0.662876325272,0.550314566353,0.695847442918,0.969039965601,0.980227484499,0.231884057971,24.000000000000,0.489795918367,0.959901325131,0.978798267828,1.000000000000,0.980227484499,1.000000000000,0.444444444444
pb01_case_430c50aba2dbd11ff6a500d5,development,erdos_renyi,105,24,node_removal,0.160000,3,0,0.059101016077,0.962730597946,1,0.892543607132,0.442503195958,0.930232558140,0.804656168157,1.000000000000,0.773677094115,0.664153916585,0.944231747017,0.206521739130,24.000000000000,0.358208955224,0.933027762904,0.982215316154,0.000000000000,0.944231747017,1.000000000000,0.500000000000
pb01_case_ddf4fed87b5d9d3cacb62d04,development,erdos_renyi,105,24,node_removal,0.280000,23,0,0.048902193810,0.974784400478,1,0.911086920345,0.335423388324,0.909090909091,0.646363944707,0.732948553491,0.643473073977,0.664153916585,0.952927603136,0.206521739130,24.000000000000,0.352941176471,0.932383625629,0.972462846919,0.000000000000,0.952927603136,1.000000000000,0.333333333333
pb01_case_9d90edbe7d455cb92d596645,development,erdos_renyi,105,24,edge_removal,0.160000,2 3 4 6 7 9 10 11 12 17 18 19 21 23,0,0.030244675349,0.990189975439,1,0.945009681184,0.378049204707,0.852636990796,0.666695682389,0.676976229439,0.677948130231,0.664153916585,0.974019698739,0.206521739130,24.000000000000,0.705882352941,0.983425000405,1.000000000000,0.513528202271,0.974019698739,1.000000000000,0.358974358974
