feature_id,haos_loss_score,max_abs_change,mean_abs_change,trajectory_total_variation
YKL083W,1.1600325657398662,1.938,0.8863999999999999,2.955
PTK2,1.5526764714112382,2.289,1.0806,3.8970000000000002
RAD27,0.8919246983595497,1.5979999999999999,0.6049999999999999,3.298
YPL247C,1.700455575730384,2.584,1.0495999999999999,5.172
BUD14,2.8027389433152843,3.362,1.7754,6.505
SPT7,0.8141248923487061,1.583,0.542,3.1119999999999997
YNR014W,1.3429592819551148,2.074,0.9553999999999998,4.211
ACC1,0.8019903981909757,2.0898927576601674,0.686157103064067,6.183892757660168
MSE1,1.1083651370451966,1.9801072423398325,0.759442896935933,6.232107242339833
YOL035C,0.7973453684062712,1.5651072423398324,0.6918,5.352892757660168
YOL037C,1.9342355067427264,2.537,1.3921999999999999,6.366
RPP2A,1.1072699040683025,1.922,0.7836,5.936999999999999
NOP12,3.473459899531453,4.082,2.7252,6.765000000000001
NTG2,0.7303843942439903,0.97,0.6252000000000001,2.178
YGK3,0.7224958198588503,1.1181072423398324,0.5196384966873314,3.1041072423398326
GAS4,0.9250774755364164,1.3021072423398325,0.592042896935933,3.5651072423398324
YOL134C,2.305165388430322,3.4,1.8297999999999999,5.207
RTC1,0.7932663014383099,1.6048927576601675,0.697557103064067,5.248892757660167
SLD7,0.7922153391034438,1.6201072423398326,0.436085793871866,3.1731072423398325
YOR062C,0.825889953023096,1.663,0.8368898893172491,3.8951011068275094
YNG1,0.88927377035195,2.6801072423398327,1.017489889317249,7.494791650832658
TMA16,1.2377628556623108,2.0140000000000002,0.8928,3.301
PUT4,1.072973115748399,1.326,0.8078,3.5860000000000003
POC4,0.6701760200440212,1.279,0.5164,3.121
NOP53,1.3849240152325932,2.358,0.9743999999999999,3.791
PEP4,1.162644258431391,2.005,0.9936,2.929
HSP82,2.2117160677020173,3.222,1.6128,5.108
ATG41,2.3259566804576384,3.8040000000000003,1.355,7.769
YPR059C,0.7175351665115162,1.361,0.4678,3.1220000000000003
NCE102,1.769146295578276,2.436,1.324,3.9019999999999997
YAL004W,0.43509624915747613,1.783,0.4282,4.1739999999999995
PHO11,1.7858028180794245,2.867,1.303,5.159000000000001
HTB2,0.44055176842920546,1.495,0.4558000000000001,3.3520000000000003
RPL32,1.1260045441773456,1.839,0.9538,2.644
TIP1,0.44100938106799253,1.286,0.476,2.412
TAT1,1.314628626876702,1.903,0.9123999999999999,3.415
YBR266C,2.2474617993426698,3.2489999999999997,1.5183999999999997,5.79
YCL053C,1.9595966823325712,2.8360000000000003,1.3638,5.011000000000001
KRR1,1.9937162794030483,3.51,1.5546,6.202999999999999
YIH1,1.2165096812061251,2.047,0.8158,4.682
YCR061W,1.7284379259174578,2.425,1.4288,3.1979999999999995
DBP10,1.1184087253318988,2.105,0.7491999999999999,3.976
LYS21,1.5042326686404475,2.507,1.220110110682751,7.9598988931724906
HBT1,1.1180037576227633,2.526,0.9490000000000001,4.849
PPH3,1.4342165494238488,1.9569999999999999,0.9477999999999998,3.657
SED1,1.1981665280257432,2.729,1.1844000000000001,3.7819999999999996
TRM82,1.713565748224264,2.752,1.1388,5.215999999999999
HSP42,4.9559130678788454,6.188,3.2588,10.857999999999997
BCP1,2.5269212174751887,3.6390000000000002,1.8470000000000002,6.025
ESF1,1.395187287754596,2.0860000000000003,1.0876,3.3880000000000003
TSA2,1.010570563413148,2.002,0.8702,3.812
UBC8,0.4642523080304426,1.27,0.4568,3.032
GCD11,1.674245590482827,2.669,1.1608,4.737
SHO1,1.0496536394798737,1.536,0.673,3.3480000000000003
BUD27,1.6956943101108028,2.379,1.0806,4.523
MSB2,0.946448439490172,1.4460000000000002,0.6248,3.392
YGR210C,0.7055645549737214,1.237,0.5660000000000001,3.985
YHL012W,1.2718621688552814,1.9929999999999999,0.8702,3.223
SKG6,2.084737118118982,2.467,1.3178,5.011
RPL2B,1.6481928392835261,2.4370000000000003,1.2084000000000001,4.228000000000001
PRM5,0.6220887779074056,1.549,0.5156,2.951
SIM1,0.8316363764300421,1.154,0.5718,2.858
GTT1,1.0291582886583943,1.965,0.9492,3.0090000000000003
