partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift,recovered,recovery_latency,recovery_type
final,signal_blind,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,21.665893235945184,-28.570544908687157,0.7999999999999999,22.089407207525213,-26.611759009406516,0.4872881355932204,0.4872881355932203,0.4872881355932203,0.0314102564102564,-9.65605297746779,2.200420088786902,28.570544908687157,499.28525542291453,489.94659349735616,2.636779683484747e-16,False,81,unstable correction
final,parameter_budget_matched,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.03032569854206179,0.958610179563814,0.7999999999999999,0.9612626393495229,-0.2015782991869038,0.0,0.9194915254237288,0.34011447674310746,0.9205586080586079,-3.6447113177293864,0.9591089788835012,0.0,0.4644795438355834,0.001855771513004129,1.1709383462843448e-17,False,6,wrong-attractor convergence
final,memory_ablation,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.7326849506104378,0.0,0.7999999999999999,0.7999999999999999,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.9099358974358973,0.0,0.20649485259126316,0.0,0.0,1.6257304553856848,0.0,False,81,no recovery
final,redundancy_ablation,True,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.19402278120741792,0.7351893456447175,0.7999999999999999,0.3877438813941866,0.5153201482572667,0.9279661016949152,0.9533898305084746,0.9429087099270236,0.9613095238095238,0.19951338279725436,0.16529636602055986,0.0,0.1386294307721736,1.2382830634938433,4.163336342344337e-17,False,81,trajectory-corridor recovery
final,oracle_upper_bound_non_admissible,False,6301,localized_block_shock,0.8,0.7,0.05,0.7326849506104378,0.0,1.0,0.7999999999999999,8.090793174965511e-11,0.999999999898865,1.0,1.0,1.0,0.9999999999999998,0.9999999998988649,2.0883871932441897e-11,0.0,0.0914285714285714,0.9999999999985568,4.163336342344337e-17,True,10,exact-state recovery
final,passive_relaxation,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,1.0367381159298927,0.0,1.1000000000000003,1.1000000000000003,0.0,0.9491525423728814,0.9491525423728814,0.9491525423728814,0.9099358974358973,0.0,0.28393042231298665,0.0,0.0,2.1903793761553176,0.0,False,81,passive decay
final,operator_only_filtering,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.030513023130538167,0.9705682441286826,1.1000000000000003,0.9613313272773774,0.12606242974783902,0.0,0.9322033898305084,0.34480317214177575,0.8912545787545787,-2.3789926937928034,0.959398822541087,0.0,0.8033286643655894,0.0019447459077158223,4.0332320816460765e-17,False,10,wrong-attractor convergence
final,topology_altered,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.6533812909629172,0.3697720948777186,1.1000000000000003,1.1525181854134066,-0.047743804921278395,0.0847457627118644,0.4957627118644068,0.18618881498460027,-0.0456043956043956,-2.5540912044489423,1.0091146166180596,0.0,0.3241986787050137,0.3786406312941505,5.551115123125783e-17,False,81,wrong-attractor convergence
final,trivial_attractor,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.049996768403011906,0.9517749298161303,1.1000000000000003,0.9999943036984438,0.09091426936505137,0.0,0.9491525423728814,5.6294892057228494e-05,0.9099358974358973,-2.521968932911734,0.9999941264948476,0.0,0.16486726486644943,7.248890519391153e-11,1.1117307432712692e-21,False,81,wrong-attractor convergence
final,identity_scrambled,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,0.12346286340958236,0.8809121980637864,1.1000000000000003,1.0054254277844965,0.08597688383227617,0.0847457627118644,0.4533898305084746,0.169336967192506,-0.15668498168498168,-2.5341415573527217,1.0034503048930346,0.0,0.26304972221565237,0.013655600440686972,1.6479873021779667e-17,False,81,wrong-attractor convergence
final,signal_blind,True,6301,localized_block_shock,1.1,0.7,0.05,1.0367381159298927,12.760314868181418,-11.308137100502154,1.1000000000000003,13.902655228915224,-11.638777480832019,0.5127118644067796,0.5169491525423728,0.5143590059195341,0.057051282051282036,-10.125892537243695,3.158979366708509,11.667434237299826,320.86864628854875,193.7294473336693,3.469446951953614e-16,False,81,unstable correction
