sample,sample_role,model_family,data_kind,k_index,k_reduced,conduction_energy_ev,valence_energy_ev,reference_conduction_energy_ev,reference_valence_energy_ev,conduction_error_ev,valence_error_ev,band_gap_ev,gap_relative_error,conduction_edge_k,valence_edge_k,direct_gap_score,curvature_score,band_shape_score,gap_score,band_order_score,symmetry_score,semiconductor_reference_score,status
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,42,0.05,0.605909596514,-0.604432197386,0.605909596514,-0.604432197386,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,43,0.075,0.613262438209,-0.609946828657,0.613262438209,-0.609946828657,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,44,0.1,0.623492872178,-0.617619654134,0.623492872178,-0.617619654134,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,45,0.125,0.636537824395,-0.627403368296,0.636537824395,-0.627403368296,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,46,0.15,0.65231686839,-0.639237651292,0.65231686839,-0.639237651292,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,47,0.175,0.67073272111,-0.653049540833,0.67073272111,-0.653049540833,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,48,0.2,0.6916718427,-0.668753882025,0.6916718427,-0.668753882025,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,49,0.225,0.715005136512,-0.686253852384,0.715005136512,-0.686253852384,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,50,0.25,0.74058874503,-0.705441558773,0.74058874503,-0.705441558773,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,51,0.275,0.768264936802,-0.726198702601,0.768264936802,-0.726198702601,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,52,0.3,0.7978630789,-0.748397309175,0.7978630789,-0.748397309175,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,53,0.325,0.829200688936,-0.771900516702,0.829200688936,-0.771900516702,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,54,0.35,0.862084560125,-0.796563420094,0.862084560125,-0.796563420094,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,55,0.375,0.896311952465,-0.822233964349,0.896311952465,-0.822233964349,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,56,0.4,0.9316718427,-0.848753882025,0.9316718427,-0.848753882025,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
toy_direct_gap_reference,reference,declared_two_band_reference,band_point,57,0.425,0.967946225349,-0.875959669012,0.967946225349,-0.875959669012,0,0,,,,,,,,,,,,BAND_POINT_RECORDED
