run_id,geometry_id,phase_id,resolution,graph_type,packet_count,initial_peak_count,collision_label,persistence_label,composite_lifetime,binding_persistence,corridor_dwell,coarse_basin_persistence,minimum_separation,final_mean_separation,post_collision_separation_trend,encounter_dwell_time,deflection_angle_proxy,reflection_fraction,grade_transfer_amplitude,omega0_weight_initial,omega1_weight_initial,omega2_weight_initial,omega0_weight_final,omega1_weight_final,omega2_weight_final,localized_circulation_proxy,new_collision_class,gate_met,promoted_followup,notes,run_order,family_id,family_label,motif_protection_strength,degree_skew,grade_coupling_amplitude,delta,right_address,topology_class,topology_stability_index,flow_concentration_index,address_selectivity_index,grade_exchange_asymmetry,local_channel_count,recirculation_score,boundary_sharpness_metric,adjacent_class_variance,phase_alignment_metric,address_sorting_score,topology_survival_time,transfer_asymmetry,structural_edge_delta,notes
C013_motif_weak_plus_d0p75,tight_clustered_pair,delta_0.750,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17231032585659758,0.3333939095151982,0.6666060904848018,0.0,0.3212955810577285,0.5512647813031212,0.12743963763915048,0.0,0,0,0,Triangle-supportive motif protection enhancement.,10,motif_weak_plus,Motif weak plus,weak_plus,symmetric,beta0,0.75,1.5,transfer_smeared,0.5555555555555556,0.9087609100503524,0.8463565499912825,0.2299692002453927,1,0.0,0.4656107553099675,0.0,0.9974312644874682,0.5493125466410961,0.0,0.2863422966194864,2,Triangle-supportive motif protection enhancement.
C013_motif_weak_plus_d0p78,tight_clustered_pair,delta_0.780,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17322841065692293,0.3333939095151982,0.6666060904848018,0.0,0.32018093787662844,0.5512572395421371,0.12856182258123447,0.0,0,0,0,Triangle-supportive motif protection enhancement.,11,motif_weak_plus,Motif weak plus,weak_plus,symmetric,beta0,0.78,1.56,transfer_smeared,0.5555555555555556,0.9090836471520026,0.8394356349912855,0.2310763016655087,1,0.0,0.45739619066072634,0.0,0.997323237322569,0.553987874975794,0.0,0.28501500520966616,2,Triangle-supportive motif protection enhancement.
C013_motif_weak_plus_d0p81,tight_clustered_pair,delta_0.810,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17422302511486468,0.3333939095151982,0.6666060904848018,0.0,0.31904640703505743,0.5512137651803236,0.12973982778461907,0.0,0,0,0,Triangle-supportive motif protection enhancement.,12,motif_weak_plus,Motif weak plus,weak_plus,symmetric,beta0,0.81,1.62,transfer_smeared,0.5555555555555556,0.9093818660527233,0.8326346642714607,0.23216735814526618,1,0.0,0.4495608034683448,0.0,0.9972180738164438,0.5585087067112872,0.0,0.2836893453302132,2,Triangle-supportive motif protection enhancement.
C013_motif_weak_plus_d0p84,tight_clustered_pair,delta_0.840,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17528966100875074,0.3333939095151982,0.6666060904848018,0.0,0.3178952313263155,0.5511358050907735,0.130968963582911,0.0,0,0,0,Triangle-supportive motif protection enhancement.,13,motif_weak_plus,Motif weak plus,weak_plus,symmetric,beta0,0.84,1.68,transfer_smeared,0.5555555555555556,0.9096468049961638,0.8259488108872352,0.23324057376445806,1,0.0,0.22286177947418595,0.0,0.9971158165255563,0.5628851414976231,0.0,0.28236654052340693,2,Triangle-supportive motif protection enhancement.
C013_motif_weak_minus_d0p66,tight_clustered_pair,delta_0.660,12,regular_lattice,2,1,address_protected_braid,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.16842819622678926,0.3333939095151982,0.6666060904848018,0.0,0.3214445871255578,0.5539344752402569,0.12462093763418525,0.0,1,0,0,Local anti-closure motif dilution control.,14,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.66,1.32,address_protected_braid,0.4444444444444444,0.9079035044433602,0.8885875573045541,0.23248988811469906,1,0.0,0.20292450011829982,0.0,0.9978036959096938,0.6071997212660555,0.5011462451690515,0.28972787716178117,0,Local anti-closure motif dilution control.
C013_motif_weak_minus_d0p69,tight_clustered_pair,delta_0.690,12,regular_lattice,2,1,address_protected_braid,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.16904875397407765,0.3333939095151982,0.6666060904848018,0.0,0.32024750685912057,0.5541871925667254,0.125565300574154,0.0,1,0,0,Local anti-closure motif dilution control.,15,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.69,1.38,address_protected_braid,0.4444444444444444,0.9083461496658797,0.8824998223010051,0.23393968570760487,1,0.0,78.17991482729606,0.888888888888889,0.9976723196305026,0.6118612748681851,0.5011462451690515,0.28824216428070326,0,Local anti-closure motif dilution control.
C013_motif_weak_minus_d0p72,tight_clustered_pair,delta_0.720,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.16976111502519722,0.3333939095151982,0.6666060904848018,0.0,0.3190252681653895,0.5543978875385868,0.1265768442960237,0.0,0,0,0,Local anti-closure motif dilution control.,16,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.72,1.44,transfer_smeared,0.1111111111111111,0.9087358639028414,0.8765234458190038,0.23537261937319726,1,0.0,78.17287443931087,0.888888888888889,0.9975438466524175,0.6163157920929496,0.5011462451690515,0.28674847062640557,0,Local anti-closure motif dilution control.
C013_motif_weak_minus_d0p75,tight_clustered_pair,delta_0.750,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.1705610443467893,0.3333939095151982,0.6666060904848018,0.0,0.31778189292558634,0.5545674759221846,0.12765063115222894,0.0,0,0,0,Local anti-closure motif dilution control.,17,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.75,1.5,transfer_smeared,0.1111111111111111,0.9091005190317475,0.8706469224550102,0.23678558299659824,1,0.0,0.38870619353473024,0.0,0.9974183258862359,0.6205643058680297,0.5011462451690515,0.2852608877140026,0,Local anti-closure motif dilution control.
C013_motif_weak_minus_d0p78,tight_clustered_pair,delta_0.780,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17144415435767024,0.3333939095151982,0.6666060904848018,0.0,0.3165211737127472,0.5546969885019729,0.1287818377852799,0.0,0,0,0,Local anti-closure motif dilution control.,18,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.78,1.56,transfer_smeared,0.1111111111111111,0.9094393261273853,0.8648622600129618,0.23817581478922573,1,0.0,15.197595411614605,0.0,0.997295804593578,0.6246173889248949,0.5011462451690515,0.2837821007535079,0,Local anti-closure motif dilution control.
C013_motif_weak_minus_d0p81,tight_clustered_pair,delta_0.810,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17240595423779695,0.3333939095151982,0.6666060904848018,0.0,0.31524665946051583,0.5547875548278691,0.12996578571161507,0.0,0,0,0,Local anti-closure motif dilution control.,19,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.81,1.62,transfer_smeared,0.5555555555555556,0.9097534358125319,0.8591635045510161,0.2395408953673533,1,0.0,15.192020316836127,0.0,0.9971763283414712,0.6284888609259415,0.0,0.28230834159409907,0,Local anti-closure motif dilution control.
C013_motif_weak_minus_d0p84,tight_clustered_pair,delta_0.840,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.1734418980706367,0.3333939095151982,0.6666060904848018,0.0,0.313961645075857,0.5548403873246832,0.1311979675994598,0.0,0,0,0,Local anti-closure motif dilution control.,20,motif_weak_minus,Motif weak minus,weak_minus,symmetric,beta0,0.84,1.68,transfer_smeared,0.5555555555555556,0.9100341815605579,0.8535460949523221,0.24087874224882622,1,0.0,0.18724698662313205,0.0,0.9970599409601129,0.6321933891496685,0.0,0.2808408771518162,0,Local anti-closure motif dilution control.
C013_degree_mild_d0p66,tight_clustered_pair,delta_0.660,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17268233648727158,0.3333939095151982,0.6666060904848018,0.0,0.3294109088976391,0.5465414707220666,0.12404762038029438,0.0,0,0,0,Mild degree-skew refinement family.,21,degree_mild,Degree mild,baseline,mild,beta0,0.66,1.32,transfer_smeared,0.5555555555555556,0.9073142656950713,0.843440169363855,0.21713056182442753,1,0.0,0.28877819057783277,0.0,0.9977082298922724,0.44802623814179704,0.0,0.28780427943991643,4,Mild degree-skew refinement family.
C013_degree_mild_d0p69,tight_clustered_pair,delta_0.690,12,regular_lattice,2,1,transfer_smeared,weak persistence gain,1.1275790516303659,1.0,0.0,0.0,0.08333333333333326,0.08333333333333326,0.0,1.1275790516303659,0.0,0.0,0.17343520808184876,0.3333939095151982,0.6666060904848018,0.0,0.32873448405066763,0.5463649950409257,0.1249005209084067,0.0,0,0,0,Mild degree-skew refinement family.,22,degree_mild,Degree mild,baseline,mild,beta0,0.69,1.38,transfer_smeared,0.5555555555555556,0.9077249127303287,0.8347768236465201,0.2176305109902581,1,0.0,0.5711736153663166,0.0,0.997585988721791,0.45421773576928526,0.0,0.28630438659359536,4,Mild degree-skew refinement family.
