perturbation_family,perturbation_description,subset_family,repair_mode,protected_set,mean_protected_pairwise_coherence,variance,exact_recoverability_rate,trial_count,delta_vs_random_mean,delta_vs_contiguous_mean,beats_random_mean,beats_contiguous_mean,notes
corridor_limited_swaps,three swaps restricted to one random contiguous corridor of width 4,contiguous,baseline,,0.8731999999999945,0.011170648888896961,0.2155,2000,,,,,uniform contiguous 6-position control
corridor_limited_swaps,three swaps restricted to one random contiguous corridor of width 4,contiguous,full_repair,,1.0,0.0,1.0,2000,,,,,uniform contiguous 6-position control
corridor_limited_swaps,three swaps restricted to one random contiguous corridor of width 4,contiguous,local_repair,,0.92549999999999,0.008278638888915668,0.521,2000,,,,,uniform contiguous 6-position control
burst_errors,"one random contiguous burst of width 4, internally permuted",reported,baseline,"(0, 1, 2, 5, 6, 8)",0.940533333333333,0.003214826666662063,0.357,2000,0.027233333333339993,0.076533333333341,True,True,fixed candidate subset
burst_errors,"one random contiguous burst of width 4, internally permuted",reported,full_repair,"(0, 1, 2, 5, 6, 8)",1.0,0.0,1.0,2000,0.0,0.0,False,False,fixed candidate subset
burst_errors,"one random contiguous burst of width 4, internally permuted",reported,local_repair,"(0, 1, 2, 5, 6, 8)",0.983399999999999,0.0014044400000002843,0.8155,2000,0.0216666666666685,0.06583333333333952,True,True,fixed candidate subset
burst_errors,"one random contiguous burst of width 4, internally permuted",random,baseline,,0.913299999999993,0.006227554444456995,0.2735,2000,,,,,uniform random non-contiguous control
burst_errors,"one random contiguous burst of width 4, internally permuted",random,full_repair,,1.0,0.0,1.0,2000,,,,,uniform random non-contiguous control
burst_errors,"one random contiguous burst of width 4, internally permuted",random,local_repair,,0.9617333333333306,0.00394899555556083,0.652,2000,,,,,uniform random non-contiguous control
burst_errors,"one random contiguous burst of width 4, internally permuted",contiguous,baseline,,0.863999999999992,0.011526222222238425,0.1965,2000,,,,,uniform contiguous 6-position control
burst_errors,"one random contiguous burst of width 4, internally permuted",contiguous,full_repair,,1.0,0.0,1.0,2000,,,,,uniform contiguous 6-position control
burst_errors,"one random contiguous burst of width 4, internally permuted",contiguous,local_repair,,0.9175666666666595,0.008664745555572617,0.442,2000,,,,,uniform contiguous 6-position control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,reported,baseline,"(0, 1, 2, 5, 6, 8)",0.9610333333333368,0.0017860433333193315,0.495,2000,0.025366666666681636,0.06873333333335141,True,True,fixed candidate subset
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,reported,full_repair,"(0, 1, 2, 5, 6, 8)",1.0,0.0,1.0,2000,0.0,0.0,False,False,fixed candidate subset
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,reported,local_repair,"(0, 1, 2, 5, 6, 8)",0.9947000000000011,0.0003252433333293947,0.9205,2000,0.020799999999999375,0.055133333333351464,True,True,fixed candidate subset
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,random,baseline,,0.9356666666666552,0.004185666666691179,0.4265,2000,,,,,uniform random non-contiguous control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,random,full_repair,,1.0,0.0,1.0,2000,,,,,uniform random non-contiguous control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,random,local_repair,,0.9739000000000018,0.001614345555547625,0.671,2000,,,,,uniform random non-contiguous control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,contiguous,baseline,,0.8922999999999854,0.007211821111146821,0.291,2000,,,,,uniform contiguous 6-position control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,contiguous,full_repair,,1.0,0.0,1.0,2000,,,,,uniform contiguous 6-position control
anisotropic_local_disruptions,one directional local displacement built from three consecutive adjacent swaps,contiguous,local_repair,,0.9395666666666497,0.003950034444483053,0.4955,2000,,,,,uniform contiguous 6-position control
