hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,k_index,power,low_k_power,fluctuation_amplitude,fluctuation_slope
frozen_branch,n48,48,0.020833333333,3,1302,3.0,1,0.084194733983,0.636241990718,0.162495222535,0.114155056268
frozen_branch,n48,48,0.020833333333,3,1302,3.0,2,0.552047256735,0.636241990718,0.162495222535,0.114155056268
frozen_branch,n48,48,0.020833333333,3,1302,3.0,3,0.156661067646,0.636241990718,0.162495222535,0.114155056268
frozen_branch,n48,48,0.020833333333,3,1302,3.0,4,0.104094513471,0.636241990718,0.162495222535,0.114155056268
frozen_branch,n48,48,0.020833333333,3,1302,3.6,1,0.083952588731,0.635244367938,0.162586173355,0.113204376999
frozen_branch,n48,48,0.020833333333,3,1302,3.6,2,0.551291779207,0.635244367938,0.162586173355,0.113204376999
frozen_branch,n48,48,0.020833333333,3,1302,3.6,3,0.15936029337,0.635244367938,0.162586173355,0.113204376999
frozen_branch,n48,48,0.020833333333,3,1302,3.6,4,0.102583558414,0.635244367938,0.162586173355,0.113204376999
frozen_branch,n48,48,0.020833333333,3,1302,4.2,1,0.083688058207,0.634134550114,0.162694428257,0.111963022066
frozen_branch,n48,48,0.020833333333,3,1302,4.2,2,0.550446491907,0.634134550114,0.162694428257,0.111963022066
frozen_branch,n48,48,0.020833333333,3,1302,4.2,3,0.162442221525,0.634134550114,0.162694428257,0.111963022066
frozen_branch,n48,48,0.020833333333,3,1302,4.2,4,0.100892983813,0.634134550114,0.162694428257,0.111963022066
frozen_branch,n48,48,0.020833333333,3,1303,0.0,1,0.072404247547,0.646327026963,0.1624329827,0.347132681388
frozen_branch,n48,48,0.020833333333,3,1303,0.0,2,0.573922779416,0.646327026963,0.1624329827,0.347132681388
frozen_branch,n48,48,0.020833333333,3,1303,0.0,3,0.124053357427,0.646327026963,0.1624329827,0.347132681388
frozen_branch,n48,48,0.020833333333,3,1303,0.0,4,0.147845558832,0.646327026963,0.1624329827,0.347132681388
frozen_branch,n48,48,0.020833333333,3,1303,0.4,1,0.072414908048,0.64632861502,0.162432317839,0.346960575087
frozen_branch,n48,48,0.020833333333,3,1303,0.4,2,0.573913706972,0.64632861502,0.162432317839,0.346960575087
frozen_branch,n48,48,0.020833333333,3,1303,0.4,3,0.124053930117,0.64632861502,0.162432317839,0.346960575087
frozen_branch,n48,48,0.020833333333,3,1303,0.4,4,0.147827413944,0.64632861502,0.162432317839,0.346960575087
frozen_branch,n48,48,0.020833333333,3,1303,0.8,1,0.072426507338,0.64633278411,0.162431566831,0.346779265309
frozen_branch,n48,48,0.020833333333,3,1303,0.8,2,0.573906276772,0.64633278411,0.162431566831,0.346779265309
frozen_branch,n48,48,0.020833333333,3,1303,0.8,3,0.124049384018,0.64633278411,0.162431566831,0.346779265309
frozen_branch,n48,48,0.020833333333,3,1303,0.8,4,0.147812553543,0.64633278411,0.162431566831,0.346779265309
frozen_branch,n48,48,0.020833333333,3,1303,1.2,1,0.072439323197,0.64633965295,0.162430711625,0.346584466938
frozen_branch,n48,48,0.020833333333,3,1303,1.2,2,0.573900329753,0.64633965295,0.162430711625,0.346584466938
frozen_branch,n48,48,0.020833333333,3,1303,1.2,3,0.124039571824,0.64633965295,0.162430711625,0.346584466938
frozen_branch,n48,48,0.020833333333,3,1303,1.2,4,0.147800659506,0.64633965295,0.162430711625,0.346584466938
frozen_branch,n48,48,0.020833333333,3,1303,1.6,1,0.07245369548,0.646349180616,0.162429732356,0.346370485135
frozen_branch,n48,48,0.020833333333,3,1303,1.6,2,0.573895485136,0.646349180616,0.162429732356,0.346370485135
frozen_branch,n48,48,0.020833333333,3,1303,1.6,3,0.124024708754,0.646349180616,0.162429732356,0.346370485135
frozen_branch,n48,48,0.020833333333,3,1303,1.6,4,0.147790970272,0.646349180616,0.162429732356,0.346370485135
frozen_branch,n48,48,0.020833333333,3,1303,2.0,1,0.072470024036,0.646361175642,0.16242860737,0.346130273367
frozen_branch,n48,48,0.020833333333,3,1303,2.0,2,0.573891151606,0.646361175642,0.16242860737,0.346130273367
frozen_branch,n48,48,0.020833333333,3,1303,2.0,3,0.124005352501,0.646361175642,0.16242860737,0.346130273367
frozen_branch,n48,48,0.020833333333,3,1303,2.0,4,0.147782303212,0.646361175642,0.16242860737,0.346130273367
frozen_branch,n48,48,0.020833333333,3,1303,2.4,1,0.072488764744,0.64637531431,0.162427313238,0.345855545341
frozen_branch,n48,48,0.020833333333,3,1303,2.4,2,0.573886549566,0.64637531431,0.162427313238,0.345855545341
frozen_branch,n48,48,0.020833333333,3,1303,2.4,3,0.123982362865,0.64637531431,0.162427313238,0.345855545341
frozen_branch,n48,48,0.020833333333,3,1303,2.4,4,0.147773099132,0.64637531431,0.162427313238,0.345855545341
frozen_branch,n48,48,0.020833333333,3,1303,3.0,1,0.072522518165,0.646399572799,0.162424999447,0.345357978732
frozen_branch,n48,48,0.020833333333,3,1303,3.0,2,0.573877054634,0.646399572799,0.162424999447,0.345357978732
frozen_branch,n48,48,0.020833333333,3,1303,3.0,3,0.123943546813,0.646399572799,0.162424999447,0.345357978732
frozen_branch,n48,48,0.020833333333,3,1303,3.0,4,0.147754109269,0.646399572799,0.162424999447,0.345357978732
frozen_branch,n48,48,0.020833333333,3,1303,3.6,1,0.072564731599,0.646425883219,0.162422156781,0.344726203042
frozen_branch,n48,48,0.020833333333,3,1303,3.6,2,0.57386115162,0.646425883219,0.162422156781,0.344726203042
frozen_branch,n48,48,0.020833333333,3,1303,3.6,3,0.123903589587,0.646425883219,0.162422156781,0.344726203042
frozen_branch,n48,48,0.020833333333,3,1303,3.6,4,0.147722303241,0.646425883219,0.162422156781,0.344726203042
frozen_branch,n48,48,0.020833333333,3,1303,4.2,1,0.07261744544,0.646452242024,0.162418687738,0.343921908298
frozen_branch,n48,48,0.020833333333,3,1303,4.2,2,0.573834796585,0.646452242024,0.162418687738,0.343921908298
frozen_branch,n48,48,0.020833333333,3,1303,4.2,3,0.123867525441,0.646452242024,0.162418687738,0.343921908298
frozen_branch,n48,48,0.020833333333,3,1303,4.2,4,0.147669593169,0.646452242024,0.162418687738,0.343921908298
frozen_branch,n48,48,0.020833333333,5,1301,0.0,1,0.421841478905,0.709487293061,0.168232967588,-0.752379641342
frozen_branch,n48,48,0.020833333333,5,1301,0.0,2,0.287645814156,0.709487293061,0.168232967588,-0.752379641342
frozen_branch,n48,48,0.020833333333,5,1301,0.0,3,0.057101762272,0.709487293061,0.168232967588,-0.752379641342
frozen_branch,n48,48,0.020833333333,5,1301,0.0,4,0.278171097881,0.709487293061,0.168232967588,-0.752379641342
frozen_branch,n48,48,0.020833333333,5,1301,0.4,1,0.425816401604,0.715487408744,0.16876343513,-0.760042792253
frozen_branch,n48,48,0.020833333333,5,1301,0.4,2,0.289671007141,0.715487408744,0.16876343513,-0.760042792253
frozen_branch,n48,48,0.020833333333,5,1301,0.4,3,0.058149213234,0.715487408744,0.16876343513,-0.760042792253
frozen_branch,n48,48,0.020833333333,5,1301,0.4,4,0.275516966403,0.715487408744,0.16876343513,-0.760042792253
frozen_branch,n48,48,0.020833333333,5,1301,0.8,1,0.429070759799,0.720008087397,0.169133014852,-0.767548831736
frozen_branch,n48,48,0.020833333333,5,1301,0.8,2,0.290937327599,0.720008087397,0.169133014852,-0.767548831736
frozen_branch,n48,48,0.020833333333,5,1301,0.8,3,0.058846933152,0.720008087397,0.169133014852,-0.767548831736
frozen_branch,n48,48,0.020833333333,5,1301,0.8,4,0.273072468529,0.720008087397,0.169133014852,-0.767548831736
frozen_branch,n48,48,0.020833333333,5,1301,1.2,1,0.431736797402,0.723327508183,0.169372527819,-0.774905762661
frozen_branch,n48,48,0.020833333333,5,1301,1.2,2,0.291590710782,0.723327508183,0.169372527819,-0.774905762661
frozen_branch,n48,48,0.020833333333,5,1301,1.2,3,0.059258023642,0.723327508183,0.169372527819,-0.774905762661
frozen_branch,n48,48,0.020833333333,5,1301,1.2,4,0.27080033985,0.723327508183,0.169372527819,-0.774905762661
frozen_branch,n48,48,0.020833333333,5,1301,1.6,1,0.433924387018,0.725676928506,0.169507438117,-0.782127655373
frozen_branch,n48,48,0.020833333333,5,1301,1.6,2,0.291752541488,0.725676928506,0.169507438117,-0.782127655373
frozen_branch,n48,48,0.020833333333,5,1301,1.6,3,0.059436468739,0.725676928506,0.169507438117,-0.782127655373
frozen_branch,n48,48,0.020833333333,5,1301,1.6,4,0.268670586438,0.725676928506,0.169507438117,-0.782127655373
frozen_branch,n48,48,0.020833333333,5,1301,2.0,1,0.435723482581,0.727245658722,0.169558494559,-0.789230238562
frozen_branch,n48,48,0.020833333333,5,1301,2.0,2,0.291522176142,0.727245658722,0.169558494559,-0.789230238562
frozen_branch,n48,48,0.020833333333,5,1301,2.0,3,0.059427377926,0.727245658722,0.169558494559,-0.789230238562
frozen_branch,n48,48,0.020833333333,5,1301,2.0,4,0.266659243639,0.727245658722,0.169558494559,-0.789230238562
frozen_branch,n48,48,0.020833333333,5,1301,2.4,1,0.437207030989,0.728187121991,0.169542456443,-0.796228563693
frozen_branch,n48,48,0.020833333333,5,1301,2.4,2,0.290980091002,0.728187121991,0.169542456443,-0.796228563693
