hierarchy_label,level_id,n_side,h,ensemble_size,seed,initial_nearest_neighbor_mean,initial_pair_distance_mean,density_proxy,terminal_survival_fraction,terminal_cluster_frequency,terminal_spectral_distortion
frozen_branch,n72,72,0.013888888889,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.249568570606
frozen_branch,n72,72,0.013888888889,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.342431510767
frozen_branch,n72,72,0.013888888889,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.429711897028
frozen_branch,n72,72,0.013888888889,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.252910381274
frozen_branch,n72,72,0.013888888889,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.26704927895
frozen_branch,n72,72,0.013888888889,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.428571428571,-0.668730500473
frozen_branch,n84,84,0.011904761905,3,1301,0.212841139601,0.286392145242,4.698339812846,1.0,0.0,0.351329194866
frozen_branch,n84,84,0.011904761905,3,1302,0.36221681787,0.460927673259,2.760777387094,1.0,0.0,-0.227237817758
frozen_branch,n84,84,0.011904761905,3,1303,0.457326985542,0.503726954014,2.18661927158,1.0,0.0,-0.635578512267
frozen_branch,n84,84,0.011904761905,5,1301,0.160385242843,0.33896256498,6.23498759784,0.8,0.4,0.293860172734
frozen_branch,n84,84,0.011904761905,5,1302,0.261291989209,0.420524157463,3.827136082616,1.0,0.4,-0.334669413151
frozen_branch,n84,84,0.011904761905,5,1303,0.277515430129,0.403324737506,3.603403239722,1.0,0.0,-0.427030778728
frozen_branch,n84,84,0.011904761905,7,1301,0.171666973495,0.404760425206,5.825232306713,0.857142857143,0.285714285714,-0.225728384912
frozen_branch,n84,84,0.011904761905,7,1302,0.221347520758,0.412613868881,4.517782700145,0.857142857143,0.285714285714,-0.244225476746
frozen_branch,n84,84,0.011904761905,7,1303,0.243541687787,0.416710468534,4.106073211069,1.0,0.285714285714,-0.664280685853
