hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,observable,value
frozen_branch,n48,48,0.020833333333,3,1302,0.0,spectral_distortion,-0.22028119225
frozen_branch,n48,48,0.020833333333,3,1302,0.0,mean_identity,0.998442273277
frozen_branch,n48,48,0.020833333333,3,1302,0.4,centroid_drift_x,-2.141088e-05
frozen_branch,n48,48,0.020833333333,3,1302,0.4,density_mode_amplitude,0.324112357373
frozen_branch,n48,48,0.020833333333,3,1302,0.4,density_redistribution_rate,0.000187495793
frozen_branch,n48,48,0.020833333333,3,1302,0.4,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.4,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.4,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,0.4,localization_width,0.363352125421
frozen_branch,n48,48,0.020833333333,3,1302,0.4,spectral_distortion,-0.22174054803
frozen_branch,n48,48,0.020833333333,3,1302,0.4,mean_identity,0.997913791361
frozen_branch,n48,48,0.020833333333,3,1302,0.8,centroid_drift_x,-0.000152775808
frozen_branch,n48,48,0.020833333333,3,1302,0.8,density_mode_amplitude,0.324298052237
frozen_branch,n48,48,0.020833333333,3,1302,0.8,density_redistribution_rate,0.000325866477
frozen_branch,n48,48,0.020833333333,3,1302,0.8,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.8,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,0.8,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,0.8,localization_width,0.363370665846
frozen_branch,n48,48,0.020833333333,3,1302,0.8,spectral_distortion,-0.223673705936
frozen_branch,n48,48,0.020833333333,3,1302,0.8,mean_identity,0.996757276587
frozen_branch,n48,48,0.020833333333,3,1302,1.2,centroid_drift_x,-0.000398469817
frozen_branch,n48,48,0.020833333333,3,1302,1.2,density_mode_amplitude,0.324599942521
frozen_branch,n48,48,0.020833333333,3,1302,1.2,density_redistribution_rate,0.000468819555
frozen_branch,n48,48,0.020833333333,3,1302,1.2,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,1.2,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,1.2,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,1.2,localization_width,0.363314528796
frozen_branch,n48,48,0.020833333333,3,1302,1.2,spectral_distortion,-0.226092285849
frozen_branch,n48,48,0.020833333333,3,1302,1.2,mean_identity,0.995088091201
frozen_branch,n48,48,0.020833333333,3,1302,1.6,centroid_drift_x,-0.000758401072
frozen_branch,n48,48,0.020833333333,3,1302,1.6,density_mode_amplitude,0.325019930351
frozen_branch,n48,48,0.020833333333,3,1302,1.6,density_redistribution_rate,0.00061410706
frozen_branch,n48,48,0.020833333333,3,1302,1.6,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,1.6,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,1.6,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,1.6,localization_width,0.363184485839
frozen_branch,n48,48,0.020833333333,3,1302,1.6,spectral_distortion,-0.228990419929
frozen_branch,n48,48,0.020833333333,3,1302,1.6,mean_identity,0.993001823587
frozen_branch,n48,48,0.020833333333,3,1302,2.0,centroid_drift_x,-0.001228898336
frozen_branch,n48,48,0.020833333333,3,1302,2.0,density_mode_amplitude,0.325557116306
frozen_branch,n48,48,0.020833333333,3,1302,2.0,density_redistribution_rate,0.000759878625
frozen_branch,n48,48,0.020833333333,3,1302,2.0,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,2.0,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,2.0,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,2.0,localization_width,0.362983646109
frozen_branch,n48,48,0.020833333333,3,1302,2.0,spectral_distortion,-0.232348977765
frozen_branch,n48,48,0.020833333333,3,1302,2.0,mean_identity,0.990578461564
frozen_branch,n48,48,0.020833333333,3,1302,2.4,centroid_drift_x,-0.001803565516
frozen_branch,n48,48,0.020833333333,3,1302,2.4,density_mode_amplitude,0.326208478887
frozen_branch,n48,48,0.020833333333,3,1302,2.4,density_redistribution_rate,0.000904633263
frozen_branch,n48,48,0.020833333333,3,1302,2.4,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,2.4,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,2.4,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,2.4,localization_width,0.362716778789
frozen_branch,n48,48,0.020833333333,3,1302,2.4,spectral_distortion,-0.236139346648
frozen_branch,n48,48,0.020833333333,3,1302,2.4,mean_identity,0.987885466049
frozen_branch,n48,48,0.020833333333,3,1302,3.0,centroid_drift_x,-0.002842266205
frozen_branch,n48,48,0.020833333333,3,1302,3.0,density_mode_amplitude,0.327389254828
frozen_branch,n48,48,0.020833333333,3,1302,3.0,density_redistribution_rate,0.001117298591
frozen_branch,n48,48,0.020833333333,3,1302,3.0,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,3.0,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,3.0,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,3.0,localization_width,0.362205681299
frozen_branch,n48,48,0.020833333333,3,1302,3.0,spectral_distortion,-0.242557218327
frozen_branch,n48,48,0.020833333333,3,1302,3.0,mean_identity,0.983463233575
frozen_branch,n48,48,0.020833333333,3,1302,3.6,centroid_drift_x,-0.00406333124
frozen_branch,n48,48,0.020833333333,3,1302,3.6,density_mode_amplitude,0.328796511859
frozen_branch,n48,48,0.020833333333,3,1302,3.6,density_redistribution_rate,0.00132198689
frozen_branch,n48,48,0.020833333333,3,1302,3.6,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,3.6,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,3.6,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,3.6,localization_width,0.361581436807
frozen_branch,n48,48,0.020833333333,3,1302,3.6,spectral_distortion,-0.249736645961
frozen_branch,n48,48,0.020833333333,3,1302,3.6,mean_identity,0.978719827626
frozen_branch,n48,48,0.020833333333,3,1302,4.2,centroid_drift_x,-0.005431323971
frozen_branch,n48,48,0.020833333333,3,1302,4.2,density_mode_amplitude,0.330407171848
frozen_branch,n48,48,0.020833333333,3,1302,4.2,density_redistribution_rate,0.001516622094
frozen_branch,n48,48,0.020833333333,3,1302,4.2,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1302,4.2,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1302,4.2,survival_fraction,1.0
frozen_branch,n48,48,0.020833333333,3,1302,4.2,localization_width,0.360866885012
frozen_branch,n48,48,0.020833333333,3,1302,4.2,spectral_distortion,-0.25754305741
frozen_branch,n48,48,0.020833333333,3,1302,4.2,mean_identity,0.973780361954
frozen_branch,n48,48,0.020833333333,3,1303,0.0,centroid_drift_x,0.0
frozen_branch,n48,48,0.020833333333,3,1303,0.0,density_mode_amplitude,0.245699071457
frozen_branch,n48,48,0.020833333333,3,1303,0.0,density_redistribution_rate,0.0
frozen_branch,n48,48,0.020833333333,3,1303,0.0,variance_growth,0.0
frozen_branch,n48,48,0.020833333333,3,1303,0.0,effective_diffusion_proxy,0.0
frozen_branch,n48,48,0.020833333333,3,1303,0.0,survival_fraction,1.0
