probe_name,hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,observable,value
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,width_shift,-0.012681926843
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,3.6,low_k_response_fraction,0.703548107065
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,disturbance_radius,0.236396402616
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,response_dispersion,0.090556923211
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,front_sharpness,1.804640784925
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,active_candidate_fraction,0.666666666667
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,survival_shift,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,identity_shift,-0.005255751479
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,spectral_shift,0.015268587135
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,width_shift,-0.012347282545
density_pulse,frozen_branch,n48,48,0.020833333333,3,1301,4.2,low_k_response_fraction,0.705696519891
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,response_dispersion,0.095144963958
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,front_sharpness,1.738861316523
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,active_candidate_fraction,1.0
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,identity_shift,-0.006449262293
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,spectral_shift,-0.046547810719
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,width_shift,0.088240263089
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.0,low_k_response_fraction,0.700135433338
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,response_dispersion,0.094725248388
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,front_sharpness,1.746003945527
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,active_candidate_fraction,1.0
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,identity_shift,-0.006510057742
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,spectral_shift,-0.047429621667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,width_shift,0.088951693485
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.4,low_k_response_fraction,0.704613635389
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,response_dispersion,0.094290363173
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,front_sharpness,1.753237721499
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,active_candidate_fraction,1.0
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,identity_shift,-0.006468249768
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,spectral_shift,-0.047877706667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,width_shift,0.089610653559
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,0.8,low_k_response_fraction,0.708665305886
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,response_dispersion,0.093842161411
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,front_sharpness,1.760535956889
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,identity_shift,-0.006328434116
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,spectral_shift,-0.047955770256
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,width_shift,0.090206191368
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.2,low_k_response_fraction,0.712298947836
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,response_dispersion,0.093382405471
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,front_sharpness,1.767879164496
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,identity_shift,-0.006100571454
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,spectral_shift,-0.047726994425
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,width_shift,0.090732653463
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,1.6,low_k_response_fraction,0.715541130302
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,response_dispersion,0.092912695658
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,front_sharpness,1.775253744863
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,identity_shift,-0.005797802726
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,spectral_shift,-0.047250488461
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,width_shift,0.091188233561
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.0,low_k_response_fraction,0.718428498131
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,response_dispersion,0.092434436488
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,front_sharpness,1.782650747871
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,identity_shift,-0.005434608976
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,spectral_shift,-0.046579368063
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,width_shift,0.091573798843
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,2.4,low_k_response_fraction,0.721002125763
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,response_dispersion,0.091703590895
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,front_sharpness,1.793777251296
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,identity_shift,-0.00480791521
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,spectral_shift,-0.045307304019
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,width_shift,0.092026940109
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.0,low_k_response_fraction,0.724365214409
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,response_dispersion,0.090959413573
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,front_sharpness,1.804934911811
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,identity_shift,-0.004121952178
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,spectral_shift,-0.043828203675
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,width_shift,0.092341683752
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,3.6,low_k_response_fraction,0.727248383369
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,disturbance_radius,0.236396402616
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,response_dispersion,0.090204307376
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,front_sharpness,1.816124242355
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,active_candidate_fraction,0.666666666667
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,survival_shift,-0.333333333333
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,identity_shift,-0.00341334208
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,spectral_shift,-0.04223947407
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,width_shift,0.092533202695
candidate_removal,frozen_branch,n48,48,0.020833333333,3,1301,4.2,low_k_response_fraction,0.729767494986
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,disturbance_radius,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,response_dispersion,2.4283903e-05
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,front_sharpness,0.000111022302
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,active_candidate_fraction,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,survival_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,identity_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,spectral_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,width_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.0,low_k_response_fraction,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,disturbance_radius,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,response_dispersion,1.3122636e-05
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,front_sharpness,5.5511151e-05
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,active_candidate_fraction,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,survival_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,identity_shift,-0.00792422545
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,spectral_shift,-0.013999713611
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,width_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.4,low_k_response_fraction,0.902368927062
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,disturbance_radius,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,response_dispersion,0.095818392824
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,front_sharpness,1.781924332385
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,active_candidate_fraction,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,survival_shift,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,identity_shift,-0.019341231767
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,spectral_shift,-0.035710893667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,width_shift,0.000124387039
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,0.8,low_k_response_fraction,0.855379845865
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,disturbance_radius,0.0
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,response_dispersion,0.094612866327
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,front_sharpness,1.795764568752
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,active_candidate_fraction,0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,identity_shift,-0.032470654528
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,spectral_shift,-0.062118445521
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,width_shift,0.000538199463
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.2,low_k_response_fraction,0.859444616779
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,disturbance_radius,0.236396402616
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,response_dispersion,0.094758364601
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,front_sharpness,1.790896823592
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,active_candidate_fraction,0.666666666667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,identity_shift,-0.028729002521
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,spectral_shift,-0.058267866457
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,width_shift,0.001281409792
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,1.6,low_k_response_fraction,0.862185473695
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,disturbance_radius,0.236396402616
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,response_dispersion,0.097754404795
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,front_sharpness,1.74717659924
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,active_candidate_fraction,0.666666666667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,identity_shift,-0.026679512186
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,spectral_shift,-0.055825897349
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,width_shift,0.002154181101
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.0,low_k_response_fraction,0.873810597988
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,disturbance_radius,0.236396402616
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,response_dispersion,0.100907496397
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,front_sharpness,1.701147769706
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,active_candidate_fraction,0.666666666667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,identity_shift,-0.025257491488
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,spectral_shift,-0.053789478187
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,width_shift,0.002467855902
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,2.4,low_k_response_fraction,0.885163877483
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,disturbance_radius,0.236396402616
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,response_dispersion,0.105223999651
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,front_sharpness,1.637929204628
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,active_candidate_fraction,0.666666666667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,identity_shift,-0.023746562284
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,spectral_shift,-0.05106228733
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,width_shift,0.00281772654
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.0,low_k_response_fraction,0.899007309757
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,disturbance_radius,0.236396402616
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,response_dispersion,0.108829614194
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,front_sharpness,1.58492334314
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,active_candidate_fraction,0.666666666667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,identity_shift,-0.022690241112
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,spectral_shift,-0.04856548225
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,width_shift,0.003077046883
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,3.6,low_k_response_fraction,0.89518351841
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,disturbance_radius,0.236396402616
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,response_dispersion,0.111736367249
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,front_sharpness,1.542035573727
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,active_candidate_fraction,0.666666666667
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,survival_shift,-0.333333333333
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,identity_shift,-0.021926879402
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,spectral_shift,-0.046245846004
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,width_shift,0.003275204323
bias_onset,frozen_branch,n48,48,0.020833333333,3,1301,4.2,low_k_response_fraction,0.885464394135
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,disturbance_radius,0.592748124933
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,response_dispersion,0.220089589806
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,front_sharpness,1.521221602385
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,active_candidate_fraction,1.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,survival_shift,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,identity_shift,-0.000228153712
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,spectral_shift,0.007091766558
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,width_shift,-0.030728292628
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.0,low_k_response_fraction,0.588366329738
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.4,disturbance_radius,0.592748124933
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.4,response_dispersion,0.22011723304
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.4,front_sharpness,1.521902170638
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.4,active_candidate_fraction,1.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.4,survival_shift,0.0
density_pulse,frozen_branch,n48,48,0.020833333333,3,1302,0.4,identity_shift,-0.000254857567
