component,control_family,is_focus_control,target_count,target_missing,target_mean,target_variance,target_values,target_control_count,target_control_missing,target_control_mean,target_control_variance,target_control_values,control_control_count,control_control_missing,control_control_mean,control_control_variance,control_control_values,effect_size_cohen_d_control_minus_target,overlap_coefficient_histogram_20_bin,rank_order_by_mean_distance,target_outperforms_target_control,notes
d_struct,parameter_matched_null_control,False,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.5,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",3.125000000000001,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_struct,periodic_diagonal_augmented_control,True,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.23459595959595958,0.0391340807060504,"[0.0, 0.4, 0.25, 0.0, 0.5454545454545454, 0.2121212121212121]",3,0,0.41414141414141414,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.45454545454545453]",-0.9556378203261015,0.0,target_control < target_target < control_control,False,positive effect means target-target distances are smaller than target-control distances
d_struct,randomized_edge_control,True,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.43636363636363634,0.0006611570247933875,"[0.4, 0.45454545454545453, 0.45454545454545453, 0.45454545454545453, 0.4, 0.45454545454545453]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",1.4134783330214147,0.3333333333333333,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_struct,shuffled_structure_control,True,3,0,0.37373737373737376,0.003264972961942656,"[0.33333333333333337, 0.45454545454545453, 0.33333333333333337]",6,0,0.43636363636363634,0.0006611570247933875,"[0.4, 0.45454545454545453, 0.45454545454545453, 0.45454545454545453, 0.4, 0.45454545454545453]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",1.4134783330214147,0.3333333333333333,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_spec,degraded_signal_control,False,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,0.3333333333333333,0.0,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",-4.218867065816368,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_spec,generic_graph_operator_control,False,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",-18.11718177803829,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_spec,label_permutation_control,False,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",-18.11718177803829,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
d_spec,parameter_matched_null_control,False,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",3,0,0.0,0.0,"[0.0, 0.0, 0.0]",23.577762358627478,0.0,control_control < target_target < target_control,True,positive effect means target-target distances are smaller than target-control distances
d_spec,periodic_diagonal_augmented_control,True,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,0.35123753516850637,0.04512043328941834,"[0.23279508364559562, 0.1383355558182464, 0.6642655747216146, 0.18243177145415104, 0.6283434883162855, 0.26125373705514504]",3,0,0.49016255316809393,0.0176031721924978,"[0.3033531500857901, 0.5987805212477543, 0.5683539881707373]",-0.5475219737908669,0.0,target_control < target_target < control_control,False,positive effect means target-target distances are smaller than target-control distances
d_spec,randomized_edge_control,True,3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0,0.4345174733573122,0.0011504379593388148,"[0.47727968175725527, 0.39431611175798237, 0.431956626556699]",-18.11718177803829,0.0,target_control < control_control < target_target,False,positive effect means target-target distances are smaller than target-control distances
