resolution,sample,control_type,l,eigen_start,eigen_end,subspace_overlap,mode_leakage,degeneracy_split,band_score,spherical_organization_score
72,ring_smooth_control,ring_smooth,2,4,8,0.0030861533287415577,0.9969138466712585,1.0740346579152926,0.0022220303966939215,0.3027480721707504
72,ring_smooth_control,ring_smooth,3,9,15,0.017217773563702517,0.9827822264362975,0.7781974606107059,0.012396796965865813,0.3027480721707504
144,sphere,none,0,0,0,0.9997008878121513,0.00029911218784872684,0.0,0.9997846392247489,0.9744726925840749
144,sphere,none,1,1,3,0.9923598716656432,0.007640128334356788,0.08746792764139111,0.9400746192890642,0.9744726925840749
144,sphere,none,2,4,8,0.9778595340887382,0.022140465911261842,0.08808175793996324,0.9292524373812476,0.9744726925840749
144,sphere,none,3,9,15,0.9593685208996855,0.040631479100314505,0.10857605966712694,0.9031868979215613,0.9744726925840749
144,coordinate_permutation_control,coordinate_permutation,0,0,0,0.9997008878121513,0.00029911218784872684,0.0,0.9997846392247489,0.30898469050996236
144,coordinate_permutation_control,coordinate_permutation,1,1,3,0.02129828949466916,0.9787017105053308,0.08746792764139111,0.24091028012596294,0.30898469050996236
144,coordinate_permutation_control,coordinate_permutation,2,4,8,0.03135688893968874,0.9686431110603113,0.08808175793996324,0.2477705328739321,0.30898469050996236
144,coordinate_permutation_control,coordinate_permutation,3,9,15,0.05706833265143633,0.9429316673485637,0.10857605966712694,0.25353076238282185,0.30898469050996236
144,weight_shuffle_control,weight_shuffle,0,0,0,0.997598611389083,0.002401388610916988,0.0,0.9982710002001398,0.9371411682712811
144,weight_shuffle_control,weight_shuffle,1,1,3,0.9793494976855088,0.02065050231449117,0.11954919312492324,0.9107454737225029,0.9371411682712811
144,weight_shuffle_control,weight_shuffle,2,4,8,0.9387601637519734,0.06123983624802665,0.1692202881917676,0.8506146941376543,0.9371411682712811
144,weight_shuffle_control,weight_shuffle,3,9,15,0.8837752958022647,0.11622470419773534,0.2106326091336819,0.7852579228500063,0.9371411682712811
144,degree_rewire_control,degree_preserving_rewire,0,0,0,0.9974037078569078,0.002596292143092205,0.0,0.9981306696569736,0.3091140081584218
144,degree_rewire_control,degree_preserving_rewire,1,1,3,0.037809932060572975,0.9621900679394271,0.07250745515518667,0.26210740120927417,0.3091140081584218
144,degree_rewire_control,degree_preserving_rewire,2,4,8,0.02149425301713237,0.9785057469828676,0.059326239079336714,0.2585617578563036,0.3091140081584218
144,degree_rewire_control,degree_preserving_rewire,3,9,15,0.04819423747278057,0.9518057625272194,0.11383077562086286,0.2438718128163096,0.3091140081584218
144,ring_smooth_control,ring_smooth,0,0,0,1.0,0.0,0.0,1.0,0.3177514325636683
144,ring_smooth_control,ring_smooth,1,1,3,0.25328376655694224,0.7467162334430577,1.4965170436279485,0.1823643119209984,0.3177514325636683
144,ring_smooth_control,ring_smooth,2,4,8,0.014524568018155862,0.9854754319818442,1.1018040918979877,0.01045768897307222,0.3177514325636683
144,ring_smooth_control,ring_smooth,3,9,15,0.019274006796377634,0.9807259932036224,0.9128607391051722,0.013877284893391895,0.3177514325636683
288,sphere,none,0,0,0,0.9995967100532154,0.00040328994678462404,0.0,0.999709631238315,0.9760256725838697
288,sphere,none,1,1,3,0.9940149491978071,0.005985050802192915,0.12762408701110425,0.9162802203932896,0.9760256725838697
288,sphere,none,2,4,8,0.9840749025830924,0.01592509741690762,0.1302574274515035,0.907484863890002,0.9760256725838697
288,sphere,none,3,9,15,0.9705468602903042,0.029453139709695764,0.12003539745681577,0.9041050476581114,0.9760256725838697
288,coordinate_permutation_control,coordinate_permutation,0,0,0,0.9995967100532154,0.00040328994678462404,0.0,0.999709631238315,0.29119709307102826
288,coordinate_permutation_control,coordinate_permutation,1,1,3,0.0056904319607217445,0.9943095680392783,0.12762408701110425,0.20468656798258814,0.29119709307102826
288,coordinate_permutation_control,coordinate_permutation,2,4,8,0.009689186981500985,0.990310813018499,0.1302574274515035,0.20592714865685632,0.29119709307102826
288,coordinate_permutation_control,coordinate_permutation,3,9,15,0.03144107824405925,0.9685589217559407,0.12003539745681577,0.2279488845848151,0.29119709307102826
288,weight_shuffle_control,weight_shuffle,0,0,0,0.9970544168036695,0.0029455831963305368,0.0,0.997879180098642,0.9462123874241178
288,weight_shuffle_control,weight_shuffle,1,1,3,0.9840809456728751,0.015919054327124926,0.24023199003731197,0.839060598194587,0.9462123874241178
288,weight_shuffle_control,weight_shuffle,2,4,8,0.9601959989995423,0.03980400100045767,0.24941695404408157,0.8161483478744642,0.9462123874241178
288,weight_shuffle_control,weight_shuffle,3,9,15,0.9235629845899996,0.07643701541000036,0.2143657138732777,0.8115822380503158,0.9462123874241178
288,degree_rewire_control,degree_preserving_rewire,0,0,0,0.9971723196491539,0.002827680350846129,0.0,0.9979640701473907,0.2990939896368715
288,degree_rewire_control,degree_preserving_rewire,1,1,3,0.017995450580523934,0.982004549419476,0.04283318510890025,0.26630496479466154,0.2990939896368715
288,degree_rewire_control,degree_preserving_rewire,2,4,8,0.013350380269777154,0.9866496197302228,0.05458320594070947,0.25564939009779813,0.2990939896368715
288,degree_rewire_control,degree_preserving_rewire,3,9,15,0.02192578169687276,0.9780742183031272,0.05721577056880555,0.2601856389122694,0.2990939896368715
288,ring_smooth_control,ring_smooth,0,0,0,1.0,0.0,0.0,1.0,0.3177488084996697
288,ring_smooth_control,ring_smooth,1,1,3,0.2532980631439312,0.7467019368560688,1.4991291062267411,0.18237460546363046,0.3177488084996697
288,ring_smooth_control,ring_smooth,2,4,8,0.014545038573287575,0.9854549614267124,1.108782145763981,0.010472427772767053,0.3177488084996697
288,ring_smooth_control,ring_smooth,3,9,15,0.019228120739008706,0.9807718792609913,0.9490031564274857,0.013844246932086269,0.3177488084996697
