partition,condition,admissible,seed,perturbation_family,magnitude,eta,inequality_margin,post_state_error,final_state_error,state_recovery_gain,post_trajectory_error,final_trajectory_error,trajectory_recovery_gain,operator_recovery,identity_sign_agreement,identity_margin_score,node_rank_identity,functional_recovery,final_functional_error,overshoot,corrective_cost,variance_ratio,mean_shift
calibration,target,True,6102,sparse_node_corruption,0.7,0.7,0.05,0.4801407522475152,0.00031893399927038565,0.999335748949079,0.7,0.38462412031231324,0.45053697098240963,0.9071729957805907,1.0,0.9604486158179751,0.957051282051282,0.06301138607497096,0.24880850563897491,0.0,0.04020273237822214,1.4084689215534112,0.0
calibration,target,True,6102,relational_twist,0.2,0.7,0.05,0.057010900181726706,1.320890670686368e-05,0.9997683091011585,0.20000000000000004,0.16841657793889223,0.15791711030553904,0.9282700421940928,1.0,0.9679166391076327,0.9868589743589743,0.0,0.006454240659642668,0.0,0.0005697243486178203,1.0367674995336293,5.551115123125783e-17
calibration,target,True,6102,relational_twist,0.45,0.7,0.05,0.20407611143403315,9.87535620697134e-05,0.9995160944542908,0.4500000000000001,0.3073524411359335,0.31699457525348124,0.8860759493670887,1.0,0.9533531308622462,0.9692307692307692,0.0,0.025153459664596093,0.0,0.007354778286482485,1.1564511636611017,0.0
calibration,target,True,6102,relational_twist,0.7,0.7,0.05,0.39667702048668635,0.0002040662109201347,0.999485560795355,0.7000000000000001,0.4011167826898543,0.42697602472877966,0.869198312236287,1.0,0.9488730810145727,0.9575091575091573,0.0,0.07253298310927453,0.0,0.028264368382342597,1.3319361520084836,5.551115123125783e-17
calibration,target,True,6103,localized_block_shock,0.2,0.7,0.05,0.1153052186715984,4.370299139898282e-07,0.9999962097993567,0.2,0.10263990064566891,0.4868004967716555,0.9874476987447699,1.0,0.9937851251521089,0.9978479853479852,0.18661681864545832,0.024191711165855508,0.0,0.0023310690689173235,1.057184807336199,0.0
calibration,target,True,6103,localized_block_shock,0.45,0.7,0.05,0.3180895420671795,1.2589477087190925e-05,0.9999604215938525,0.45000000000000007,0.2105251879077083,0.5321662490939816,0.9748953974895398,1.0,0.9902759907657418,0.9962912087912087,0.05990903705222459,0.06291059555304304,0.0,0.017629824244375064,1.1650025783167528,1.3877787807814457e-17
calibration,target,True,6103,localized_block_shock,0.7,0.7,0.05,0.5436954093792742,0.00024736602223039906,0.9995450283045192,0.7,0.3188895263043648,0.5444435338509074,0.9539748953974896,1.0,0.9797823780649639,0.9878663003663003,-0.047615450159925105,0.10905393469450664,0.0,0.05786511895314626,1.3145293387740802,2.7755575615628914e-17
calibration,target,True,6103,sparse_node_corruption,0.2,0.7,0.05,0.06692328318942879,5.1909145225680406e-05,0.9992243484964903,0.2,0.15588713369101437,0.22056433154492822,0.9539748953974896,1.0,0.9822720699067591,0.9905677655677654,0.31060052220092504,0.03034306169518701,0.0,0.0008180047338115316,1.0164732192812007,4.163336342344337e-17
calibration,target,True,6103,sparse_node_corruption,0.45,0.7,0.05,0.23401456815800048,0.0014840180400476216,0.9936584373711057,0.45000000000000007,0.25683152703886114,0.42926327324697533,0.9246861924686193,1.0,0.966288437021774,0.9759157509157508,0.5647101427776801,0.04310717035802539,0.0,0.009852121845832442,1.0974321841410553,5.551115123125783e-17
calibration,target,True,6103,sparse_node_corruption,0.7,0.7,0.05,0.4428988057926765,0.0027550344702724308,0.9937795396279256,0.7,0.32839262185110374,0.5308676830698518,0.9121338912133892,1.0,0.95874408194876,0.9687728937728937,0.5441350168344276,0.0702251584750245,0.0,0.03503727879401124,1.222108928656816,1.3877787807814457e-17
