event_id,seed,signal_to_noise,sample,sample_role,control_type,specificity_score,base_strain_proxy_score,ridge_coherence_score,phase_continuity_score,ridge_monotonicity,ridge_slope_hz,ridge_concentration,ridge_smoothness,phase_valid_fraction,phase_frequency_correlation,phase_smoothness,phase_range_hz
surrogate_02,6602,17.49999889026142,phase_scramble_control,negative_control,fft_phase_scramble,0.3168154007159325,0.2564190487026561,0.29235839413727627,0.5256496515401725,0.5238095238095238,-13.513580079785953,0.43134886074945045,0.326666540364432,1.0,0.0,0.9470623168689257,67.47209889557053
surrogate_02,6602,17.49999889026142,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.2738241092172517,0.14920570437553057,0.25042471831282,0.5480250156878714,0.3333333333333333,-21.295956605410396,0.47810106110474726,0.3154935159227409,1.0,0.0,0.9396285584655659,88.27608364833898
surrogate_02,6602,17.49999889026142,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.6017970970053216,0.7520322067101834,0.5114187436939691,0.6176742762860061,0.47619047619047616,32.99600071413224,0.6012522514897983,0.5690687380301154,1.0,0.14956443898903463,0.9594038413675775,97.7999679437163
surrogate_02,6602,17.49999889026142,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.6196923273176842,0.7122703647028028,0.45987403233117136,0.6029339263403108,0.42857142857142855,-76.42942376181836,0.7859642664282268,0.5297124758348977,1.0,0.0,0.970581229140691,129.16187143730264
surrogate_02,6602,17.49999889026142,chirp_reversal_control,negative_control,event_window_chirp_reversal,0.5862263852695989,0.6872545774584579,0.39568781947368864,0.6043202086415669,0.14285714285714285,-76.3115198402989,0.8259671395366759,0.7651170778732861,1.0,0.0,0.9747626070456737,129.49146309635444
surrogate_02,6602,17.49999889026142,envelope_locked_phase_control,negative_control,event_envelope_preserved_phase_scramble,0.5404193615383431,0.7232931812360603,0.25419336943239657,0.5528862083527583,0.47619047619047616,-10.477660973722266,0.415951753037505,0.22708600518184419,1.0,0.0,0.932483877291893,93.93867810788399
surrogate_02,6602,17.49999889026142,multi_event_timing_randomization_control,negative_control,multi_event_timing_randomization,0.3151084300484653,0.28299580367915217,0.20928638304024902,0.5781627477239956,0.5238095238095238,-4.196949100699101,0.3597830278112709,0.0,1.0,0.0,0.9091941439711511,120.5177985638472
surrogate_02,6602,17.49999889026142,micro_chunk_scramble_control,negative_control,event_window_micro_chunk_scramble,0.5464345713720146,0.789211951057381,0.23648707555112863,0.5398428770448964,0.3333333333333333,-30.624484698528676,0.4686046921591277,0.2513291195961985,1.0,0.0,0.9438651539984839,80.3547900734186
surrogate_03,6603,14.700804946526196,strain_proxy_target,target,none,0.9150786336361976,0.9633450652669802,0.8445950447502505,0.9455022473383785,0.6190476190476191,92.1124799522382,0.8514128645421478,0.8151346733861424,1.0,0.931036154887118,0.9729845862178494,135.03335715246388
surrogate_03,6603,14.700804946526196,time_shuffle_control,negative_control,global_time_shuffle,0.4269380688446049,0.44943223558869067,0.23886377866701744,0.749896204238314,0.47619047619047616,4.6041826490458675,0.38528790589067125,0.11956699726305875,1.0,0.46924907434258606,0.906195626161791,123.5518667522431
surrogate_03,6603,14.700804946526196,phase_scramble_control,negative_control,fft_phase_scramble,0.49725795910640247,0.5488773034357292,0.37628626638202,0.6145831126020949,0.47619047619047616,16.85971689950344,0.464373663728472,0.5075111933892218,1.0,0.11357956460457719,0.9443749082816303,109.39942311284807
surrogate_03,6603,14.700804946526196,amplitude_preserving_surrogate_control,negative_control,iaaft_amplitude_spectrum_surrogate,0.400831359207649,0.34622426574308424,0.4220990937041843,0.5795754842360928,0.5714285714285714,31.43494321359387,0.4025123168445937,0.4784990134548166,1.0,0.13670808707353727,0.9265698698424766,75.76383133194935
surrogate_03,6603,14.700804946526196,sliding_window_scramble_control,negative_control,event_window_sliding_scramble,0.4803816072399694,0.5373605712264284,0.38759159152618383,0.5684944011824157,0.38095238095238093,-79.16460148686363,0.6606789063647441,0.49919630735331666,1.0,0.0,0.9630427981352795,101.06355607023355
surrogate_03,6603,14.700804946526196,partial_overlap_scramble_control,negative_control,partial_event_overlap_scramble,0.6307632452494027,0.7107075458964097,0.49551439824280347,0.6078325462389959,0.5238095238095238,-127.27208643937071,0.8210627095678149,0.5529940010540384,1.0,0.0,0.9691057144547991,133.6850671629213
