left_observation_id,right_observation_id,left_kind,right_kind,left_control_group,right_control_group,left_signature_id,right_signature_id,scalar_distance,scalar_enabled,disabled_components,warnings
obs_590502ed80ee4f9526a00243,obs_11180e544727ce850ebf3a6a,derived_control,derived_control,shuffled_structure_control,label_permutation_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_8e7a52f1a727043c61e5d5c2,0.21688034188034186,True,,
obs_590502ed80ee4f9526a00243,obs_979ad629051487c82499339e,derived_control,derived_control,shuffled_structure_control,generic_graph_operator_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_793bb0a29a9abfe233b6d670,0.5293614296718152,True,,
obs_590502ed80ee4f9526a00243,obs_2c0e6630085a94e0f0b4dd07,derived_control,derived_control,shuffled_structure_control,generic_graph_operator_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_793bb0a29a9abfe233b6d670,0.41096821897523517,True,,
obs_590502ed80ee4f9526a00243,obs_0033e7ce631563262f7b0bbe,derived_control,derived_control,shuffled_structure_control,generic_graph_operator_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_793bb0a29a9abfe233b6d670,0.48927735160700575,True,,
obs_590502ed80ee4f9526a00243,obs_118430be7d682f480e3902ea,derived_control,derived_control,shuffled_structure_control,generic_graph_operator_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_793bb0a29a9abfe233b6d670,0.39588798861977564,True,,
obs_590502ed80ee4f9526a00243,obs_8f4c211fcf3841317e300fd0,derived_control,derived_control,shuffled_structure_control,generic_graph_operator_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_793bb0a29a9abfe233b6d670,0.4723300268491685,True,,
obs_590502ed80ee4f9526a00243,obs_ae30906415b62baef858fb35,derived_control,derived_control,shuffled_structure_control,generic_graph_operator_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_793bb0a29a9abfe233b6d670,0.3504629629629629,True,,
obs_590502ed80ee4f9526a00243,obs_2b1c4b4fddba864cb9f9f25f,derived_control,derived_control,shuffled_structure_control,seed_repeat_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_53d374d66c9dffe0861a6d49,0.3368349746453603,True,,
obs_590502ed80ee4f9526a00243,obs_65dfe5e65cb70d7cb499d482,derived_control,derived_control,shuffled_structure_control,seed_repeat_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_53d374d66c9dffe0861a6d49,0.22753267303968924,True,,
obs_590502ed80ee4f9526a00243,obs_f622bfcc3394ff0a255f9f83,derived_control,derived_control,shuffled_structure_control,seed_repeat_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_53d374d66c9dffe0861a6d49,0.33722708705674126,True,,
obs_590502ed80ee4f9526a00243,obs_57728f48826a986fe1ea83d9,derived_control,derived_control,shuffled_structure_control,seed_repeat_control,bsig_bb01a7c1d0ca9b191d52310d,bsig_53d374d66c9dffe0861a6d49,0.2478059780377651,True,,
