sample,sample_role,model_family,data_kind,series,n_lower,n_upper,l_lower,l_upper,wavenumber_m_inv,wavelength_nm,reference_wavenumber_m_inv,reference_wavelength_nm,relative_wavenumber_error,relative_wavelength_error,fitted_rydberg_m_inv,rydberg_relative_error,transition_rms_relative_error,series_law_rms_relative_error,absolute_line_score,rydberg_scale_score,inverse_square_law_score,line_order_score,selection_rule_score,hydrogen_reference_score,status
forbidden_selection_rule_control,negative_control,selection_rule_control,line,lyman,1,5,0,0,10529048.0067,94.9753481385,10529048.0067,94.9753481385,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,lyman,1,6,0,0,10663098.3864,93.7813723333,10663098.3864,93.7813723333,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,balmer,2,3,0,0,1523299.76948,656.469606333,1523299.76948,656.469606333,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,balmer,2,4,0,0,2056454.6888,486.273782469,2056454.6888,486.273782469,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,balmer,2,5,0,0,2303229.25146,434.173020062,2303229.25146,434.173020062,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,balmer,2,6,0,0,2437279.63117,410.293503958,2437279.63117,410.293503958,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,balmer,2,7,0,0,2518107.78221,397.123589016,2518107.78221,397.123589016,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,paschen,3,4,0,0,533154.919319,1875.62744667,533154.919319,1875.62744667,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,paschen,3,5,0,0,779929.481975,1282.16719987,779929.481975,1282.16719987,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,paschen,3,6,0,0,913979.86169,1094.11601056,913979.86169,1094.11601056,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,paschen,3,7,0,0,994808.012724,1005.2190847,994808.012724,1005.2190847,0,0,,,,,,,,,,,LINE_RECORDED
forbidden_selection_rule_control,negative_control,selection_rule_control,line,paschen,3,8,0,0,1047268.59152,954.864881939,1047268.59152,954.864881939,0,0,,,,,,,,,,,LINE_RECORDED
