hierarchy_label,level_id,n_side,h,ensemble_size,seed,probe_name,distance_band,mean_latency,latency_std,front_distance,front_ordering_valid,chain_signature
frozen_branch,n48,48,0.020833333333,7,1303,candidate_removal,far,2.8,1.979898987322,1.4,True,dispersion_half>low_k_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1303,bias_onset,near,1.6,0.0,0.133333333333,True,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n48,48,0.020833333333,7,1303,bias_onset,far,1.733333,0.49888765157,0.133333333333,True,low_k_half>dispersion_half>radius_half>spectral_half>width_half>front_near>front_far
frozen_branch,n60,60,0.016666666667,3,1301,density_pulse,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1301,density_pulse,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1301,candidate_removal,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1301,candidate_removal,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1301,bias_onset,near,4.2,0.0,2.6,False,low_k_half>dispersion_half>spectral_half>front_far>radius_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,3,1301,bias_onset,far,1.6,0.0,2.6,False,low_k_half>dispersion_half>spectral_half>front_far>radius_half>width_half>front_near
frozen_branch,n60,60,0.016666666667,3,1302,density_pulse,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1302,density_pulse,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1302,candidate_removal,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1302,candidate_removal,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1302,bias_onset,near,2.4,0.0,0.4,False,low_k_half>dispersion_half>spectral_half>front_far>radius_half>front_near>width_half
frozen_branch,n60,60,0.016666666667,3,1302,bias_onset,far,2.0,0.0,0.4,False,low_k_half>dispersion_half>spectral_half>front_far>radius_half>front_near>width_half
frozen_branch,n60,60,0.016666666667,3,1303,density_pulse,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1303,density_pulse,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1303,candidate_removal,near,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1303,candidate_removal,far,0.0,0.0,0.0,True,dispersion_half>front_far>front_near>low_k_half>radius_half>spectral_half>width_half
frozen_branch,n60,60,0.016666666667,3,1303,bias_onset,near,1.6,0.0,0.0,True,low_k_half>spectral_half>dispersion_half>front_far>front_near>radius_half>width_half
frozen_branch,n60,60,0.016666666667,3,1303,bias_onset,far,1.6,0.0,0.0,True,low_k_half>spectral_half>dispersion_half>front_far>front_near>radius_half>width_half
