hierarchy_label,level_id,n_side,tau,family_label,localization_width,spatial_concentration,participation_ratio,spectral_energy_mean,spectral_energy_spread,width_growth,concentration_ratio,participation_growth
periodic_diagonal_augmented_control,n60,60,0.0,low_mode_localized_wavepacket,0.08,0.013815533255,144.764589477418,0.109790768293,0.10236440304,0.0,1.0,0.0
periodic_diagonal_augmented_control,n60,60,0.1,low_mode_localized_wavepacket,0.080574620057,0.013620635492,146.843829097655,0.107731172759,0.100600221612,0.007182750712,0.985892852675,0.014362902059
periodic_diagonal_augmented_control,n60,60,0.2,low_mode_localized_wavepacket,0.081145650596,0.013430966669,148.925023562532,0.105741473684,0.098890506681,0.01432063245,0.972164188026,0.028739307728
periodic_diagonal_augmented_control,n60,60,0.4,low_mode_localized_wavepacket,0.082277148237,0.013066530716,153.092906632353,0.101958771889,0.095625364355,0.028464352962,0.945785477464,0.057530071304
periodic_diagonal_augmented_control,n60,60,0.8,low_mode_localized_wavepacket,0.08449929904,0.012392268078,161.448348366919,0.095099360447,0.089654776522,0.056241238,0.896980800471,0.115247512874
periodic_diagonal_augmented_control,n60,60,0.0,mid_spectrum_localized_superposition,0.055,0.02922955796,68.423887995186,0.593237959186,0.376829325043,0.0,1.0,0.0
periodic_diagonal_augmented_control,n60,60,0.1,mid_spectrum_localized_superposition,0.055752697908,0.028457577828,70.294665016797,0.565803773442,0.363963749391,0.013685416509,0.973589058957,0.027340992692
periodic_diagonal_augmented_control,n60,60,0.2,mid_spectrum_localized_superposition,0.056504131098,0.027716614178,72.18793144623,0.540200782381,0.35168014861,0.027347838145,0.948239252059,0.055010663108
periodic_diagonal_augmented_control,n60,60,0.4,mid_spectrum_localized_superposition,0.058000136958,0.02632383052,76.033843314763,0.493929724902,0.328781088145,0.054547944691,0.900589415551,0.111217815043
periodic_diagonal_augmented_control,n60,60,0.8,mid_spectrum_localized_superposition,0.06094947075,0.023864075775,83.916479879119,0.417796623019,0.289037611514,0.108172195455,0.816436423967,0.226420806211
periodic_diagonal_augmented_control,n60,60,0.0,random_localized_seed,0.046947056978,0.099009950481,21.167086640226,1.032846847591,0.630657555346,0.0,1.0,0.0
periodic_diagonal_augmented_control,n60,60,0.1,random_localized_seed,0.047950682306,0.094623866635,22.491714052867,0.957000174242,0.600967751568,0.02137781136,0.955700575299,0.062579580986
periodic_diagonal_augmented_control,n60,60,0.2,random_localized_seed,0.048794153417,0.090358312396,23.906222793472,0.888204573628,0.572058621534,0.03934424345,0.91261849902,0.129405439672
periodic_diagonal_augmented_control,n60,60,0.4,random_localized_seed,0.050535026939,0.082035176067,26.97609706585,0.769569938983,0.517473919139,0.076425876124,0.828554864117,0.274435992272
periodic_diagonal_augmented_control,n60,60,0.8,random_localized_seed,0.054121017798,0.067181700691,33.861515859649,0.593048707569,0.424100087845,0.152809596209,0.678534837808,0.599724914212
