hierarchy_label,level_id,n_side,h,ensemble_size,seed,tau,low_mode_occupancy,single_mode_baseline_occupancy,low_mode_occupancy_ratio_vs_single,spectral_distortion_vs_single
frozen_branch,n60,60,0.016666666667,3,1302,3.6,0.318282180757,0.421472776735,0.755166640234,-0.244833359766
frozen_branch,n60,60,0.016666666667,3,1302,4.2,0.327731640197,0.43625637015,0.751236343171,-0.248763656829
frozen_branch,n60,60,0.016666666667,3,1303,0.0,0.11368053444,0.320037906897,0.355209592333,-0.644790407667
frozen_branch,n60,60,0.016666666667,3,1303,0.4,0.118141288161,0.332383834554,0.355436323549,-0.644563676451
frozen_branch,n60,60,0.016666666667,3,1303,0.8,0.122515728563,0.344465222359,0.355669369824,-0.644330630176
frozen_branch,n60,60,0.016666666667,3,1303,1.2,0.126802680616,0.356278791513,0.355908585178,-0.644091414822
frozen_branch,n60,60,0.016666666667,3,1303,1.6,0.131001261526,0.367822360187,0.356153610291,-0.643846389709
frozen_branch,n60,60,0.016666666667,3,1303,2.0,0.135110816989,0.379094687829,0.356403878309,-0.643596121691
frozen_branch,n60,60,0.016666666667,3,1303,2.4,0.139130868734,0.39009534205,0.356658626075,-0.643341373925
frozen_branch,n60,60,0.016666666667,3,1303,3.0,0.144992400469,0.406087673521,0.357047036696,-0.642952963304
frozen_branch,n60,60,0.016666666667,3,1303,3.6,0.150651023012,0.421472776735,0.357439510516,-0.642560489484
frozen_branch,n60,60,0.016666666667,3,1303,4.2,0.156106280461,0.43625637015,0.357831520964,-0.642168479036
frozen_branch,n60,60,0.016666666667,5,1301,0.0,0.453939209315,0.320037906897,1.418392007733,0.418392007733
frozen_branch,n60,60,0.016666666667,5,1301,0.4,0.461892869937,0.332383834554,1.389636985677,0.389636985677
frozen_branch,n60,60,0.016666666667,5,1301,0.8,0.469152039654,0.344465222359,1.361972150458,0.361972150458
frozen_branch,n60,60,0.016666666667,5,1301,1.2,0.475774559161,0.356278791513,1.335399609786,0.335399609786
frozen_branch,n60,60,0.016666666667,5,1301,1.6,0.481813412573,0.367822360187,1.309907892297,0.309907892297
frozen_branch,n60,60,0.016666666667,5,1301,2.0,0.487316826707,0.379094687829,1.285475218599,0.285475218599
frozen_branch,n60,60,0.016666666667,5,1301,2.4,0.492328491877,0.39009534205,1.262072213653,0.262072213653
